record_type,source_node,target_node,source_date,target_date,source_campaign,target_campaign,source_raw_campaigns,target_raw_campaigns,kind,method,method_class,internal,run_count,group_count,edge_count,internal_edge_count
link,4|Early manual,20|Other manual,2026-06-15,2026-08-02,Early manual,Other manual,Early manual,Other manual,primary,explicit_run_id,Named relation,False,,,1,
link,4|Early manual,25|Late manual,2026-06-15,2026-08-17,Early manual,Late manual,Early manual,Late manual,primary,named_relation,Named relation,False,,,1,
link,5|Automated search,23|Automated search,2026-06-18,2026-08-11,Automated search,Automated search,Cycle 1,Cycle 1; Cycle 10; Cycle 11; Cycle 2; Cycle 3; Cycle 4; Cycle 5; Cycle 6; Cycle 8,primary,campaign_baseline,Campaign anchor,False,,,1,
link,5|Automated search,6|Other manual,2026-06-18,2026-06-21,Automated search,Other manual,Cycle 1,Other manual,primary,campaign_baseline,Campaign anchor,False,,,1,
link,5|Pre-cycle search,6|Other manual,2026-06-18,2026-06-21,Pre-cycle search,Other manual,Pre-cycle search,Other manual,primary,explicit_run_id,Named relation,False,,,1,
link,6|Other manual,7|Automated search,2026-06-21,2026-06-24,Other manual,Automated search,Other manual,Cycle 5,primary,campaign_baseline,Campaign anchor,False,,,1,
link,7|Automated search,23|Automated search,2026-06-24,2026-08-11,Automated search,Automated search,Cycle 5,Cycle 1; Cycle 10; Cycle 11; Cycle 2; Cycle 3; Cycle 4; Cycle 5; Cycle 6; Cycle 8,primary,named_base,Named base,False,,,2,
link,7|Automated search,8|Automated search,2026-06-24,2026-06-27,Automated search,Automated search,Cycle 5,Cycle 5,primary,named_base,Named base,False,,,5,
link,7|Automated search,9|Automated search,2026-06-24,2026-06-30,Automated search,Automated search,Cycle 5,Cycle 5; Cycle 6,primary,campaign_baseline,Campaign anchor,False,,,1,
link,9|Automated search,13|Automated search,2026-06-30,2026-07-12,Automated search,Automated search,Cycle 5; Cycle 6,Cycle 7,primary,campaign_baseline,Campaign anchor,False,,,1,
link,9|Automated search,22|Automated search,2026-06-30,2026-08-08,Automated search,Automated search,Cycle 5; Cycle 6,Cycle 10; Cycle 6; Cycle 8; Cycle 9,primary,named_base,Named base,False,,,3,
link,9|Automated search,23|Automated search,2026-06-30,2026-08-11,Automated search,Automated search,Cycle 5; Cycle 6,Cycle 1; Cycle 10; Cycle 11; Cycle 2; Cycle 3; Cycle 4; Cycle 5; Cycle 6; Cycle 8,primary,named_base,Named base,False,,,8,
